Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",107.800000,-91.750000,0.000000,top
"C2","22u","C_0805_2012Metric",112.500000,-97.000000,90.000000,top
"C3","10u","C_0603_1608Metric",94.500000,-82.250000,0.000000,top
"C4","100n","C_0402_1005Metric",91.000000,-86.500000,90.000000,top
"C5","100n","C_0402_1005Metric",99.850000,-96.025000,180.000000,top
"C6","100n","C_0402_1005Metric",103.000000,-87.500000,-90.000000,top
"C7","100n","C_0402_1005Metric",94.500000,-84.000000,0.000000,top
"C8","10n","C_0402_1005Metric",91.000000,-91.000000,90.000000,top
"C9","1u","C_0402_1005Metric",90.520000,-94.500000,180.000000,top
"C10","1u","C_0402_1005Metric",90.520000,-96.000000,180.000000,top
"C11","10u","C_0402_1005Metric",94.770000,-96.000000,0.000000,top
"C12","10p","C_0402_1005Metric",89.000000,-88.000000,90.000000,top
"C13","10p","C_0402_1005Metric",89.000000,-89.980000,90.000000,top
"D1","RED","LED_0603_1608Metric",116.850000,-97.200000,-90.000000,top
"FB1","120R","L_0603_1608Metric",92.250000,-95.250000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",119.250000,-88.650000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",98.040000,-74.250000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",112.540000,-74.250000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",92.950000,-102.750000,90.000000,top
"R1","1k5","R_0402_1005Metric",118.440000,-94.400000,0.000000,top
"R2","10k","R_0402_1005Metric",84.525000,-84.750000,90.000000,top
"R3","1k5","R_0402_1005Metric",106.750000,-88.075000,-90.000000,top
"R4","1k5","R_0402_1005Metric",95.750000,-99.000000,180.000000,top
"R5","1k5","R_0402_1005Metric",98.000000,-99.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",80.975000,-84.500000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",107.750000,-97.250000,-90.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",97.000000,-90.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",86.500000,-89.000000,-90.000000,top
